Source,Title,Author,Type,Themes,Tones,Avg Rating,Pages,Year,Date Added,Similar To,BBRE Score,Why Youd Like It,Why You Might Not,Keep (Y/N/Maybe)
candidate pool,James,Percival Everett,fiction,"literary, social commentary",,4.39,303,2024,,"The Seven Husbands of Evelyn Hugo, American Dirt, Gabrielle Zevin",98,"Character-driven literary fiction. If you like Gabrielle Zevin, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Tenant,Freida McFadden,fiction,"thriller, psychological, suspense","fast-paced, twisty, unreliable-narrator, tense",4.1,368,2025,2025/05/21,"Never Lie, The Teacher, B.A. Paris",95,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Bad Blood,John Carreyrou,nonfiction,"true crime, tech history, finance, narrative nonfiction",,4.4,352,2018,,"Going Infinite: The Rise and Fall of a New Tycoon, American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road, Michael Lewis",90,"Gripping true crime narrative. If you like Michael Lewis, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,The Good Girl,Mary Kubica,fiction,"thriller, psychological",,3.7,352,2014,,"The Silent Patient, Behind Closed Doors, Freida McFadden",88,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.7/5). Mixed reader reactions.,
to-read,"Rich Blood (Jason Rich, #1)",Robert Bailey,fiction,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven",4.2,380,2022,2025/10/11,"A Time to Kill (Jake Brigance, #1), The Boomerang, John Grisham",84,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"The Midnight Train (The Midnight World, #2)",Matt Haig,fiction,"speculative, literary, philosophical","heartwarming, atmospheric, humorous",4.1,296,2026,2026/03/18,"The Midnight Library (The Midnight World, #1), The Invisible Life of Addie LaRue, V.E. Schwab",81,"Inventive speculative premise. If you like V.E. Schwab, this hits the same notes.",Less plot-driven than typical genre fiction.,
candidate pool,The Women,Kristin Hannah,fiction,"historical, military, history, literary",,4.62,471,2024,,"The Great Alone, Where the Crawdads Sing, Kristin Hannah",81,"Historical fiction with rich atmosphere. If you like Kristin Hannah, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,Don't Let Him In,Lisa Jewell,fiction,"thriller, domestic suspense",,3.9,368,2025,,"Behind Closed Doors, Never Lie, Freida McFadden",79,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"Th1rt3en (Eddie Flynn, #4)",Steve Cavanagh,fiction,"legal, thriller, courtroom","fast-paced, twisty, procedural, compulsive",4.1,356,2018,2025/02/05,"Kill for Me, Kill for You, A Time to Kill (Jake Brigance, #1), John Grisham",78,"Fast-paced thriller. If you like John Grisham, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,fiction,"sci-fi, speculative, humor","humorous, fast-paced, accessible",4.2,383,2016,2025/10/11,"Project Hail Mary, The Martian, Andy Weir",77,"Inventive speculative premise. If you like Andy Weir, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,What Happened to Nina?,Dervla McTiernan,fiction,"thriller, psychological, mystery",,4.05,336,2024,,"The Silent Patient, Never Lie, Freida McFadden",77,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",No obvious red flags — depends on your mood.,
to-read,The Running Man,Richard Bachman,fiction,"dystopia, thriller, speculative","fast-paced, dark, tense, cat-and-mouse",4,352,2025,2025/11/04,"The Stand, The Outsider, Blake Crouch",76,"Fast-paced thriller. If you like Blake Crouch, this hits the same notes.",Dark or heavy subject matter.,
to-read,Be Ready When the Luck Happens,Ina Garten,nonfiction,"memoir, narrative nonfiction","heartwarming, inspiring, conversational, personal",4.4,320,2024,2025/03/07,"Eat a Peach, Save Me the Plums: My Gourmet Memoir, David Chang",76,"Personal, candid memoir. If you like David Chang, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
to-read,Razorblade Tears,S.A. Cosby,fiction,"thriller, crime, mystery","fast-paced, dark, gritty, character-driven",4.2,336,2021,2025/02/20,"Blacktop Wasteland, Everybody Knows, Jordan Harper",76,"Fast-paced thriller. If you like Jordan Harper, this hits the same notes.",Dark or heavy subject matter.,
to-read,Tom Lake,Ann Patchett,fiction,"literary, historical, contemporary","slow-burn, character-driven, heartwarming, dual-timeline",3.8,320,2023,2024/12/28,"Where the Crawdads Sing, Daisy Jones & The Six, Taylor Jenkins Reid",76,"Rich character work and atmospheric prose. If you like Taylor Jenkins Reid, this hits the same notes.",Modest rating (3.8/5). Slow-burn pacing — not a fast thriller.,
to-read,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,fiction,"mystery, whodunit, humor","humorous, whodunit, heartwarming",4,377,2020,2025/09/18,"The Silent Patient, The Rosie Project (Don Tillman, #1), Alex Michaelides",75,"Mystery. If you like Alex Michaelides, this hits the same notes.",No obvious red flags — depends on your mood.,
candidate pool,House of Glass,Sarah Pekkanen,fiction,"thriller, domestic suspense",,3.81,341,2024,,"Behind Closed Doors, Never Lie, B.A. Paris",75,"Fast-paced thriller. If you like B.A. Paris, this hits the same notes.",Modest rating (3.81/5). Mixed reader reactions.,
candidate pool,The Girl Before,JP Delaney,fiction,"thriller, psychological",,3.8,320,2016,,"Behind Closed Doors, The Silent Patient, Freida McFadden",75,"Fast-paced thriller. If you like Freida McFadden, this hits the same notes.",Modest rating (3.8/5). Mixed reader reactions.,
to-read,"Heartland: A Forgotten Place, an Impossible Dream, and the Miracle of Larry Bird",Keith O'Brien,nonfiction,"sports, biography, narrative nonfiction","personal, narrative-driven, accessible, inspiring",4.2,384,2026,2026/03/12,"Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever, Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Jeff Pearlman",74,"In-depth biography. If you like Jeff Pearlman, this hits the same notes.",May feel more informational than narrative if you prefer story-driven reads.,
candidate pool,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher,nonfiction,"tech history, narrative nonfiction",,4.27,400,2022,,"Elon Musk, The Everything Store: Jeff Bezos and the Age of Amazon, Michael Lewis",74,"Narrative nonfiction — reads like a novel about tech/science. If you like Michael Lewis, this hits the same notes.",No obvious red flags — depends on your mood.,
