Title,Author,Type,Themes,Tones,Reason Code,Reason,Date Dismissed,Source
A Bridge Too Far,Cornelius Ryan,nonfiction,"narrative nonfiction, military, history","narrative-driven, gritty, accessible, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
A History of Basketball in Fifteen Sneakers,Russ Bengtson,nonfiction,"sports, history, narrative nonfiction, social commentary","narrative-driven, accessible, dense, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
All the Light We Cannot See,Anthony Doerr,fiction,"historical fiction, literary, coming-of-age","slow-burn, character-driven, atmospheric, heartwarming",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Apples Never Fall,Liane Moriarty,fiction,"domestic suspense, mystery, psychological, contemporary","dark, character-driven, twisty, fast-paced",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Best. Movie. Year. Ever.,Brian Raftery,nonfiction,"narrative nonfiction, history, social commentary, humor","narrative-driven, accessible, humorous, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Blood and Fire,Brian R. Solomon,nonfiction,"sports, biography, narrative nonfiction, history","narrative-driven, accessible, character-study, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Burn the Ice,Kevin Alexander,nonfiction,"narrative nonfiction, food, history","narrative-driven, accessible, dense, conversational",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Bush,Jean Edward Smith,nonfiction,"biography, political, history","narrative-driven, investigative, character-study, accessible",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Endgame: An Insurgency on Wall Street,Sheelah Kolhatkar,nonfiction,"finance, narrative nonfiction, business, social commentary","accessible, narrative-driven, dense, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Fourth Wing,Rebecca Yarros,fiction,"fantasy, romance, adventure, YA","fast-paced, character-driven, heartwarming, atmospheric",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Juror #3,James Patterson,fiction,"legal, thriller, courtroom","fast-paced, plot-driven, compulsive, procedural",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
King of Capital,David Carey,nonfiction,"finance, business, narrative nonfiction, biography","fast-paced, tense, dark",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Notes from Underground,Fyodor Dostoevsky,fiction,"literary, psychological, social commentary","character-driven, slow-burn, dark, atmospheric",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Number Go Up,Zeke Faux,nonfiction,"narrative nonfiction, finance, true crime, tech history","accessible, narrative-driven, dark, investigative",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Red Rising,Pierce Brown,fiction,"sci-fi, speculative, adventure, coming-of-age","slow-burn, atmospheric, fast-paced, character-driven",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Seek You,Kristen Radtke,nonfiction,"narrative nonfiction, psychology","accessible, narrative-driven, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
So Fetch,Jennifer Keishin Armstrong,nonfiction,"narrative nonfiction, humor","humorous, narrative-driven, accessible, conversational",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Spaced Out,Mike Prada,nonfiction,"sports, narrative nonfiction, social commentary","accessible, narrative-driven, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
"Steven Adams: My Life, My Fight",Steven Adams,nonfiction,"memoir, sports","character-study, narrative-driven, accessible, personal",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
Stolen Focus,Johann Hari,nonfiction,"psychology, narrative nonfiction, tech history","accessible, narrative-driven, dense",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
The Coming Wave,Mustafa Suleyman,nonfiction,"tech history, social commentary, narrative nonfiction, political","accessible, narrative-driven, investigative, revelatory",started_did_not_like,"Started, did not finish",2026-06-01,manual_seed_list
